sample	file	group	time	time_h	t_eff_h	temp	batch	is_qc	number_id	replicate
HTR_T6h_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250069405-1A.mzXML	recovery_from_35_T6h	6h	6.0	174.0	25	b1	FALSE	250069405	R4
HTR_T6h_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C3_FZTM250069406-1A.mzXML	recovery_from_35_T6h	6h	6.0	174.0	25	b1	FALSE	250069406	R5
HTR_T1d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250069407-1A.mzXML	recovery_from_35_T1d	1d	24.0	192.0	25	b1	FALSE	250069407	R1
HTR_T1d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250069408-1A.mzXML	recovery_from_35_T1d	1d	24.0	192.0	25	b1	FALSE	250069408	R2
HTR_T1d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250069409-1A.mzXML	recovery_from_35_T1d	1d	24.0	192.0	25	b1	FALSE	250069409	R3
HTR_T1d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250069410-1A.mzXML	recovery_from_35_T1d	1d	24.0	192.0	25	b1	FALSE	250069410	R4
HTR_T1d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C4_FZTM250069411-1A.mzXML	recovery_from_35_T1d	1d	24.0	192.0	25	b1	FALSE	250069411	R5
HTR_T3d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250069412-1A.mzXML	recovery_from_35_T3d	3d	72.0	240.0	25	b1	FALSE	250069412	R1
HTR_T3d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250069413-1A.mzXML	recovery_from_35_T3d	3d	72.0	240.0	25	b1	FALSE	250069413	R2
HTR_T3d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250069414-1A.mzXML	recovery_from_35_T3d	3d	72.0	240.0	25	b1	FALSE	250069414	R3
HTR_T3d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250069415-1A.mzXML	recovery_from_35_T3d	3d	72.0	240.0	25	b1	FALSE	250069415	R4
HTR_T3d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C5_FZTM250069416-1A.mzXML	recovery_from_35_T3d	3d	72.0	240.0	25	b1	FALSE	250069416	R5
HTR_T7d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250069417-1A.mzXML	recovery_from_35_T7d	7d	168.0	336.0	25	b1	FALSE	250069417	R1
HTR_T7d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250069418-1A.mzXML	recovery_from_35_T7d	7d	168.0	336.0	25	b1	FALSE	250069418	R2
HTR_T7d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250069419-1A.mzXML	recovery_from_35_T7d	7d	168.0	336.0	25	b1	FALSE	250069419	R3
HTR_T7d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250069420-1A.mzXML	recovery_from_35_T7d	7d	168.0	336.0	25	b1	FALSE	250069420	R4
HTR_T7d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C6_FZTM250069421-1A.mzXML	recovery_from_35_T7d	7d	168.0	336.0	25	b1	FALSE	250069421	R5
LTR_T6h_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250069422-1A.mzXML	recovery_from_10_T6h	6h	6.0	174.0	25	b1	FALSE	250069422	R1
LTR_T6h_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250069423-1A.mzXML	recovery_from_10_T6h	6h	6.0	174.0	25	b1	FALSE	250069423	R2
LTR_T6h_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250069424-1A.mzXML	recovery_from_10_T6h	6h	6.0	174.0	25	b1	FALSE	250069424	R3
LTR_T6h_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250069425-1A.mzXML	recovery_from_10_T6h	6h	6.0	174.0	25	b1	FALSE	250069425	R4
LTR_T6h_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C7_FZTM250069426-1A.mzXML	recovery_from_10_T6h	6h	6.0	174.0	25	b1	FALSE	250069426	R5
LTR_T1d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250069427-1A.mzXML	recovery_from_10_T1d	1d	24.0	192.0	25	b1	FALSE	250069427	R1
LTR_T1d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250069428-1A.mzXML	recovery_from_10_T1d	1d	24.0	192.0	25	b1	FALSE	250069428	R2
LTR_T1d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250069429-1A.mzXML	recovery_from_10_T1d	1d	24.0	192.0	25	b1	FALSE	250069429	R3
LTR_T1d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250069430-1A.mzXML	recovery_from_10_T1d	1d	24.0	192.0	25	b1	FALSE	250069430	R4
LTR_T1d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C8_FZTM250069431-1A.mzXML	recovery_from_10_T1d	1d	24.0	192.0	25	b1	FALSE	250069431	R5
LTR_T3d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250069432-1A.mzXML	recovery_from_10_T3d	3d	72.0	240.0	25	b1	FALSE	250069432	R1
LTR_T3d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250069433-1A.mzXML	recovery_from_10_T3d	3d	72.0	240.0	25	b1	FALSE	250069433	R2
LTR_T3d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250069434-1A.mzXML	recovery_from_10_T3d	3d	72.0	240.0	25	b1	FALSE	250069434	R3
LTR_T3d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250069435-1A.mzXML	recovery_from_10_T3d	3d	72.0	240.0	25	b1	FALSE	250069435	R4
LTR_T3d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C9_FZTM250069436-1A.mzXML	recovery_from_10_T3d	3d	72.0	240.0	25	b1	FALSE	250069436	R5
LTR_T7d_R1	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250069437-1A.mzXML	recovery_from_10_T7d	7d	168.0	336.0	25	b1	FALSE	250069437	R1
LTR_T7d_R2	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250069438-1A.mzXML	recovery_from_10_T7d	7d	168.0	336.0	25	b1	FALSE	250069438	R2
LTR_T7d_R3	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250069439-1A.mzXML	recovery_from_10_T7d	7d	168.0	336.0	25	b1	FALSE	250069439	R3
LTR_T7d_R4	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250069440-1A.mzXML	recovery_from_10_T7d	7d	168.0	336.0	25	b1	FALSE	250069440	R4
LTR_T7d_R5	/public/agis/wanfanghao_group/zoujianghua/metabolomics/Raw_files-X101SC25046633-Z02-J001-B1-42/POS/HF3_C10_FZTM250069441-1A.mzXML	recovery_from_10_T7d	7d	168.0	336.0	25	b1	FALSE	250069441	R5
